First_name,Surname,Height,Weight,Armspan,Wins,Losses,Draws,Total_Fights,Win_Percentage,sex_weight,sex,verified_sex
Ray,Borg,64,135,63,12,4,0,16,0.75,unknown,male,male
Diego,Brandao,67,145,68,24,11,0,35,0.685714286,unknown,male,male
Marcus,Brimage,64,135,71,7,5,0,12,0.583333333,unknown,male,male
Jonathan,Brookins,72,145,73,14,6,0,20,0.7,unknown,male,male
Mike,Brown,66,145,70,26,9,0,35,0.742857143,unknown,male,male
Humberto,Brown,70,145,71,4,5,0,9,0.444444444,unknown,male,male
Mike,Budnik,69,145,68,11,4,0,15,0.733333333,unknown,male,male
Herbert,Burns,69,145,74,8,2,0,10,0.8,unknown,male,male
JP,Buys,66,125,66,4,1,0,5,0.8,unknown,male,male
Will,Campuzano,69,125,70,13,6,0,19,0.684210526,unknown,male,male
Carlos,Candelario,68,125,67,6,0,0,6,1,unknown,male,male
Khalid,Taha,65,135,69,14,2,0,16,0.875,unknown,male,male
Thiago,Tavares,67,145,68,24,7,1,32,0.765625,unknown,male,male
Tyler,Toner,68,145,70,12,3,0,15,0.8,unknown,male,male
Alex,Torres,70,145,70,2,2,0,4,0.5,unknown,male,male
Desmond,Torres,66,135,69,7,1,0,8,0.875,unknown,male,male
Ricky,Turcios,69,135,71,8,1,0,9,0.888888889,unknown,male,male
Darren,Uyenoyama,66,125,64,8,5,0,13,0.615384615,unknown,male,male
Charlie,Valencia,63,135,64,12,7,0,19,0.631578947,unknown,male,male
Manny,Vazquez,70,125,72,11,2,0,13,0.846153846,unknown,male,male
Hugo,Viana,66,135,67,8,4,0,12,0.666666667,unknown,male,male
Reginaldo,Vieira,67,135,65,14,5,0,19,0.736842105,unknown,male,male
Marcos,Vinicius,69,125,70,20,6,1,27,0.759259259,unknown,male,male
Alexander,Volkanovski,66,145,71,20,1,0,21,0.952380952,unknown,male,male
Royston,Wee,67,135,67,4,1,0,5,0.8,unknown,male,male
Rob,Whiteford,69,145,69,12,4,0,16,0.75,unknown,male,male
Patrick,Williams,68,135,73,8,6,0,14,0.571428571,unknown,male,male
Nathaniel,Wood,66,135,69,16,3,0,19,0.842105263,unknown,male,male
Petr,Yan,67,135,67,13,1,0,14,0.928571429,unknown,male,male
Yao,Zhikui,65,125,64,2,5,0,7,0.285714286,unknown,male,male
Akira,Corassani,68,145,68,14,7,0,21,0.666666667,unknown,female,male
Merab,Dvalishvili,66,135,68,9,4,0,13,0.692307692,unknown,female,male
Taylor,Lapilus,66,135,73,11,2,0,13,0.846153846,unknown,female,male
Suman,Mokhtarian,70,145,67,8,1,0,9,0.888888889,unknown,female,male
Su,Mudaerji,68,135,72,11,4,0,15,0.733333333,unknown,female,male
Song,Yadong,68,135,67,15,4,0,19,0.789473684,unknown,female,male
Rani,Yahya,66,135,67,26,10,0,36,0.722222222,unknown,female,male
